Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Member Type
0h 3m 17s,1/1/2014 0:42,Lamont & Mt Pleasant NW,31107,1/1/2014 0:45,16th & Harvard St NW,31103,W01259,Registered
0h 8m 56s,1/1/2014 0:45,7th & R St NW / Shaw Library,31245,1/1/2014 0:54,14th & Belmont St NW,31119,W01268,Registered
0h 4m 55s,1/1/2014 0:45,M St & Delaware Ave NE,31627,1/1/2014 0:50,Gallaudet / 8th St & Florida Ave NE,31508,W21482,Registered
0h 8m 46s,1/1/2014 0:46,14th & V St NW,31101,1/1/2014 0:54,16th & Harvard St NW,31103,W01304,Registered
0h 4m 58s,1/1/2014 0:46,14th & G St NW,31238,1/1/2014 0:51,Thomas Circle,31241,W00289,Registered
0h 6m 2s,1/1/2014 0:47,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,1/1/2014 0:53,15th St & Massachusetts Ave SE,31626,W00280,Registered
0h 14m 8s,1/1/2014 0:47,Connecticut Ave & Newark St NW / Cleveland Park,31305,1/1/2014 1:01,14th & V St NW,31101,W00659,Registered
0h 3m 57s,1/1/2014 0:49,3rd & H St NE,31616,1/1/2014 0:53,8th & F St NE,31631,W00535,Registered
0h 25m 22s,1/1/2014 0:49,M St & Pennsylvania Ave NW,31246,1/1/2014 1:15,New Jersey Ave & R St NW,31509,W00483,Registered
0h 13m 41s,1/1/2014 0:50,21st St & Pennsylvania Ave NW,31252,1/1/2014 1:03,M St & Pennsylvania Ave NW,31246,W20969,Registered
0h 14m 0s,1/1/2014 0:50,5th St & Massachusetts Ave NW,31265,1/1/2014 1:04,1st & M St NE,31603,W21168,Registered
0h 15m 48s,1/1/2014 0:50,11th & M St NW,31266,1/1/2014 1:06,New Hampshire Ave & T St NW,31229,W20321,Registered
0h 11m 58s,1/1/2014 0:52,10th & U St NW,31111,1/1/2014 1:04,8th & H St NW,31228,W01266,Registered
0h 7m 33s,1/1/2014 0:53,5th & K St NW,31600,1/1/2014 1:01,Thomas Circle,31241,W20888,Registered
0h 4m 54s,1/1/2014 0:54,Bethesda Ave & Arlington Blvd,32002,1/1/2014 0:59,Cordell & Norfolk Ave,32008,W00720,Casual
0h 20m 54s,1/1/2014 0:54,11th & M St NW,31266,1/1/2014 1:15,20th & E St NW,31204,W01185,Registered
0h 4m 0s,1/1/2014 0:54,1st & M St NE,31603,1/1/2014 0:58,6th & H St NE,31615,W20440,Registered
0h 6m 57s,1/1/2014 0:56,5th St & Massachusetts Ave NW,31265,1/1/2014 1:03,Thomas Circle,31241,W20342,Registered
0h 22m 35s,1/1/2014 0:56,10th & E St NW,31256,1/1/2014 1:18,New Hampshire Ave & T St NW,31229,W20452,Registered
